feature,mean_abs_shap
Age,0.09336528153502308
NumOfProducts,0.0830853695136291
IsActiveMember,0.05527435847437029
AgeGroup_45-60,0.05067086224448728
Geography_Germany,0.03538518491533396
BalancePerProduct,0.02743367408399221
Balance,0.027280880796461474
CreditScore,0.02328913287286686
Gender,0.022995939300457485
TenureAgeRatio,0.022019512462632763
EstimatedSalary,0.021890542096026006
BalanceSalaryRatio,0.01845553279858122
AgeGroup_30-45,0.01596193718970748
Tenure,0.012307600604880058
IsZeroBalance,0.007078129947675569
AgeGroup_60+,0.0046186151063567745
Geography_Spain,0.004599905532660665
HasCrCard,0.004246352374137387
